itemset,length,support,count
"(405, 355)",2,0.0003522160258291752,12
"(232, 282)",2,0.0003228646903434106,11
"(1235, 486)",2,0.0003228646903434106,11
"(345, 395)",2,0.000293513354857646,10
"(132, 498)",2,0.000293513354857646,10
"(132, 1490)",2,0.000293513354857646,10
