antecedent,consequent,support,confidence,lift
"(355,)","(405,)",0.0003522160258291752,0.10909090909090909,31.766899766899765
"(405,)","(355,)",0.0003522160258291752,0.10256410256410256,31.766899766899765
"(1490,)","(132,)",0.000293513354857646,0.101010101010101,29.413796080462742
"(486,)","(1235,)",0.0003228646903434106,0.0982142857142857,28.35729418886198
"(1235,)","(486,)",0.0003228646903434106,0.09322033898305085,28.357294188861985
"(395,)","(345,)",0.000293513354857646,0.09009009009009009,23.979448198198195
"(498,)","(132,)",0.000293513354857646,0.08928571428571427,25.999694749694747
"(282,)","(232,)",0.0003228646903434106,0.088,23.607559055118106
"(232,)","(282,)",0.0003228646903434106,0.08661417322834644,23.607559055118106
"(132,)","(498,)",0.000293513354857646,0.08547008547008547,25.999694749694747
"(132,)","(1490,)",0.000293513354857646,0.08547008547008547,29.413796080462745
"(345,)","(395,)",0.000293513354857646,0.07812499999999999,23.979448198198195
